name	eng
土庫曼	Turkmenistan
	East Timor
土耳其	Turkey
	Taiwan
烏茲別克	Uzbekistan
越南	Vietnam
葉門	Yemen
阿爾巴尼亞	Albania
	Aland
安道爾	Andorra
奧地利	Austria
比利時	Belgium
保加利亞	Bulgaria
波士尼亞及赫塞哥維納	Bosnia and Herzegovina
白俄羅斯	Belarus
瑞士	Switzerland
捷克	Czech Republic
德國	Germany
丹麥	Denmark
西班牙	Spain
愛沙尼亞	Estonia
芬蘭	Finland
法國	France
	Faroe Islands
英國	United Kingdom
	Guernsey
	Gibraltar
希臘	Greece
克羅埃西亞	Croatia
匈牙利	Hungary
	Isle of Man
愛爾蘭	Ireland
冰島	Iceland
義大利	Italy
	Jersey
列支敦斯登	Liechtenstein
立陶宛	Lithuania
盧森堡	Luxembourg
拉脫維亞	Latvia
摩納哥	Monaco
摩爾多瓦	Moldova
北馬其頓	Macedonia
馬爾他	Malta
蒙特內哥羅共和國	Montenegro
荷蘭	Netherlands
挪威	Norway
波蘭	Poland
葡萄牙	Portugal
羅馬尼亞	Romania
俄羅斯	Russia
	San Marino
塞爾維亞	Republic of Serbia
斯洛伐克	Slovakia
斯洛維尼亞	Slovenia
瑞典	Sweden
烏克蘭	Ukraine
梵蒂岡	Vatican
美屬薩摩亞	American Samoa
澳大利亞	Australia
	Cook Islands
斐濟	Fiji
	Federated States of Micronesia
關島	Guam
	Heard Island and McDonald Islands
吉里巴斯	Kiribati
馬紹爾群島共和國	Marshall Islands
	Northern Mariana Islands
紐喀里多尼亞	New Caledonia
	Norfolk Island
紐埃	Niue
諾魯	Nauru
紐西蘭	New Zealand
	Pitcairn Islands
帛琉	Palau
巴布亞紐幾內亞	Papua New Guinea
法屬玻里尼西亞	French Polynesia
大溪地	French Polynesia
索羅門群島	Solomon Islands
東加	Tonga
吐瓦魯	Tuvalu
	United States Minor Outlying Islands
萬那杜	Vanuatu
	Wallis and Futuna
薩摩亞	Samoa
	Ashmore and Cartier Islands
	Bajo Nuevo Bank (Petrel Is.)
	Clipperton Island
	Cyprus No Mans Area
	Coral Sea Islands
	Northern Cyprus
	Dhekelia Sovereign Base Area
	Indian Ocean Territories
	Baykonur Cosmodrome
	Siachen Glacier
科索沃	Kosovo
	Spratly Islands
	Scarborough Reef
	Serranilla Bank
	Somaliland
	US Naval Base Guantanamo Bay
	Akrotiri Sovereign Base Area
	Antarctica
